len,diffLen,class
60,65531,1
52,65527,1
124,65607,1
52,65463,1
86,65569,1
86,65535,1
86,65535,1
86,65535,1
86,65535,1
86,65535,1
52,65501,1
86,65569,1
93,65542,1
40,65482,1
40,65515,2
40,65535,2
235,65730,2
40,65340,2
2760,68255,2
40,62815,2
1259,66754,2
40,64316,2
350,65845,2
40,65225,2
83,65578,2
40,65492,2
576,66071,2
40,64999,2
124,65619,2
40,65451,2
1400,66895,2
40,64175,2
809,66304,2
40,64766,2
576,66071,2
40,64999,2
314,65809,2
40,65261,2
1400,66895,2
40,64175,2
748,66243,2
40,64827,2
576,66071,2
40,64999,2
504,65999,2
40,65071,2
1400,66895,2
40,64175,2
2119,67614,2
40,63456,2
576,66071,2
40,64999,2
560,66055,2
40,65015,2
1400,66895,2
40,64175,2
1924,67419,2
40,63651,2
576,66071,2
40,64999,2
119,65614,2
40,65456,2
1400,66895,2
40,64175,2
1915,67410,2
40,63660,2
576,66071,2
40,64999,2
576,66071,2
40,64999,2
312,65807,2
40,65263,2
1400,66895,2
40,64175,2
4804,70299,2
40,60771,2
576,66071,2
40,64999,2
507,66002,2
40,65068,2
1400,66895,2
40,64175,2
5203,70698,2
40,60372,2
576,66071,2
40,64999,2
459,65954,2
40,65116,2
3730,69225,2
40,61845,2
576,66071,2
40,64999,2
524,66019,2
40,65051,2
17623,83118,2
40,47952,2
1400,66895,2
40,64175,2
1400,66895,2
40,64175,2
17720,83215,2
40,47855,2
1400,66895,2
40,64175,2
1703,67198,2
40,63872,2
2758,68253,2
40,62817,2
40,65515,2
40,65535,2
103,65598,2
40,65472,2
1400,66895,2
40,64175,2
2619,68114,2
40,62956,2
366,65861,2
40,65209,2
99,65594,2
576,66012,2
40,64999,2
538,66033,2
40,65037,2
1400,66895,2
40,64175,2
8434,73929,2
40,57141,2
2760,68255,2
40,62815,2
7105,72600,2
40,58470,2
40,65535,2
40,65535,2
56,65527,2
52,65531,2
146,65629,2
1492,66881,2
72,64115,2
52,65515,2
1492,66975,2
850,64893,2
52,64737,2
159,65642,2
52,65428,2
